timestamp,hashrate
2009-01-03 00:00:00+00:00,4.97102696296296e-14
2009-01-07 00:00:00+00:00,0.0
2009-01-11 00:00:00+00:00,5.26928858074074e-12
2009-01-15 00:00:00+00:00,6.313204242962961e-12
2009-01-19 00:00:00+00:00,5.91552208592593e-12
2009-01-23 00:00:00+00:00,3.33058806518518e-12
2009-01-27 00:00:00+00:00,5.12015777185185e-12
2009-01-31 00:00:00+00:00,6.41262478222222e-12
2009-02-04 00:00:00+00:00,6.11436316444444e-12
2009-02-08 00:00:00+00:00,6.66117613037037e-12
2009-02-12 00:00:00+00:00,5.8658118162963004e-12
2009-02-16 00:00:00+00:00,6.11436316444444e-12
2009-02-20 00:00:00+00:00,6.36291451259259e-12
2009-02-24 00:00:00+00:00,5.51783992888889e-12
2009-02-28 00:00:00+00:00,5.0704475022222206e-12
2009-03-04 00:00:00+00:00,5.26928858074074e-12
2009-03-08 00:00:00+00:00,5.5675501985185205e-12
2009-03-12 00:00:00+00:00,5.8658118162963004e-12
2009-03-16 00:00:00+00:00,6.46233505185185e-12
2009-03-20 00:00:00+00:00,5.8658118162963004e-12
2009-03-24 00:00:00+00:00,5.2195783111111105e-12
2009-03-28 00:00:00+00:00,5.91552208592593e-12
2009-04-01 00:00:00+00:00,5.3189988503703705e-12
2009-04-05 00:00:00+00:00,6.41262478222222e-12
2009-04-09 00:00:00+00:00,4.92131669333333e-12
2009-04-13 00:00:00+00:00,5.7166810074074105e-12
2009-04-17 00:00:00+00:00,5.7166810074074105e-12
2009-04-21 00:00:00+00:00,6.11436316444444e-12
2009-04-25 00:00:00+00:00,6.06465289481481e-12
2009-04-29 00:00:00+00:00,6.11436316444444e-12
2009-05-03 00:00:00+00:00,5.66697073777778e-12
2009-05-07 00:00:00+00:00,6.01494262518519e-12
2009-05-11 00:00:00+00:00,5.91552208592593e-12
2009-05-15 00:00:00+00:00,7.10856855703704e-12
2009-05-19 00:00:00+00:00,4.97102696296296e-12
2009-05-23 00:00:00+00:00,3.47971887407407e-13
2009-05-27 00:00:00+00:00,6.2137837037037e-12
2009-05-31 00:00:00+00:00,5.8658118162963004e-12
2009-06-04 00:00:00+00:00,1.93870051555556e-12
2009-06-08 00:00:00+00:00,3.5791394133333296e-12
2009-06-12 00:00:00+00:00,4.5236345362962995e-12
2009-06-16 00:00:00+00:00,3.62884968296296e-12
2009-06-20 00:00:00+00:00,4.1756626488888896e-12
2009-06-24 00:00:00+00:00,4.22537291851852e-12
2009-06-28 00:00:00+00:00,2.5352237511111103e-12
2009-07-02 00:00:00+00:00,3.5791394133333296e-12
2009-07-06 00:00:00+00:00,4.5236345362962995e-12
2009-07-10 00:00:00+00:00,4.07624210962963e-12
2009-07-14 00:00:00+00:00,3.5791394133333296e-12
2009-07-18 00:00:00+00:00,1.49130808888889e-13
2009-07-22 00:00:00+00:00,3.43000860444444e-12
2009-07-26 00:00:00+00:00,6.46233505185185e-13
2009-07-30 00:00:00+00:00,6.959437748148151e-13
2009-08-03 00:00:00+00:00,7.456540444444451e-13
2009-08-07 00:00:00+00:00,3.67855995259259e-12
2009-08-11 00:00:00+00:00,3.33058806518518e-12
2009-08-15 00:00:00+00:00,1.69014916740741e-12
2009-08-19 00:00:00+00:00,7.456540444444451e-13
2009-08-23 00:00:00+00:00,5.96523235555555e-13
2009-08-27 00:00:00+00:00,1.4913080888888901e-12
2009-08-31 00:00:00+00:00,4.672765345185181e-12
2009-09-04 00:00:00+00:00,3.1317469866666698e-12
2009-09-08 00:00:00+00:00,3.2808777955555598e-12
2009-09-12 00:00:00+00:00,3.5294291437037e-12
2009-09-16 00:00:00+00:00,2.88319563851852e-12
2009-09-20 00:00:00+00:00,3.9271113007407396e-12
2009-09-24 00:00:00+00:00,4.07624210962963e-12
2009-09-28 00:00:00+00:00,4.37450372740741e-12
2009-10-02 00:00:00+00:00,3.7282702222222204e-12
2009-10-06 00:00:00+00:00,2.0381210548148196e-12
2009-10-10 00:00:00+00:00,3.8276907614814804e-12
2009-10-14 00:00:00+00:00,2.7837750992592602e-12
2009-10-18 00:00:00+00:00,3.1814572562963e-12
2009-10-22 00:00:00+00:00,4.2750831881481495e-12
2009-10-26 00:00:00+00:00,3.23116752592593e-12
2009-10-30 00:00:00+00:00,3.03232644740741e-12
2009-11-03 00:00:00+00:00,2.83348536888889e-12
2009-11-07 00:00:00+00:00,3.7779804918518504e-12
2009-11-11 00:00:00+00:00,3.43000860444444e-12
2009-11-15 00:00:00+00:00,4.77218588444444e-12
2009-11-19 00:00:00+00:00,3.62884968296296e-12
2009-11-23 00:00:00+00:00,4.77218588444444e-12
2009-11-27 00:00:00+00:00,3.7282702222222204e-12
2009-12-01 00:00:00+00:00,3.2808777955555598e-12
2009-12-05 00:00:00+00:00,2.58493402074074e-12
2009-12-09 00:00:00+00:00,4.672765345185181e-12
2009-12-13 00:00:00+00:00,5.16986804148148e-12
2009-12-17 00:00:00+00:00,8.00335341037037e-12
2009-12-21 00:00:00+00:00,9.29582042074074e-12
2009-12-25 00:00:00+00:00,7.80451233185185e-12
2009-12-29 00:00:00+00:00,8.15248421925926e-12
2010-01-02 00:00:00+00:00,7.6442931234091e-12
2010-01-06 00:00:00+00:00,9.290756257681829e-12
2010-01-10 00:00:00+00:00,1.12312306659318e-11
2010-01-14 00:00:00+00:00,1.02502484902837e-11
2010-01-18 00:00:00+00:00,8.433748757828401e-12
